Station,Salinity,WaterLevel,Species,Cover,Latitude,Longitude
CRMS0002,2.385086505,0.12862722,Alterniflora,0.14,30.10025,-89.79173
CRMS0003,13.28187471,-0.511784201,Alterniflora,0.593,30.09937,-89.25275
CRMS0108,10.22868203,-0.29766682,Alterniflora,0.545,29.95506,-89.41592
CRMS0119,2.507448943,-0.554648155,Alterniflora,0.132,29.47605,-89.63548
CRMS0121,0.777555814,0.275167674,Alterniflora,0.048,29.69379,-89.82298
CRMS0129,4.174097324,-0.26047129,Alterniflora,0.075,29.46879,-89.60422
CRMS0135,1.427744015,-0.240414825,Alterniflora,0.085,29.68654,-89.76048
CRMS0139,0.229327808,0.280446823,Alterniflora,0.12,29.3817,-89.47922
CRMS0147,4.747482114,-0.20012624,Alterniflora,0.52,29.66476,-89.60422
CRMS0148,0.20748849,-0.181476059,Alterniflora,0.01,29.51235,-89.69798
CRMS0163,0.227163904,0.051123619,Alterniflora,0.005,29.21476,-89.41672
CRMS0164,18.99846915,0.078355203,Alterniflora,0.62,29.19306,-90.16994
CRMS0171,13.25456952,0.010604742,Alterniflora,0.77,29.32377,-89.79605
CRMS0172,12.64538535,0.215504682,Alterniflora,0.85,29.31653,-89.73433
CRMS0173,11.03968356,0.117293362,Alterniflora,0.875,29.4543,-89.72993
CRMS0174,10.57893622,0.080116279,Alterniflora,0.3,29.3963,-89.76302
CRMS0175,16.4027325,0.158293738,Alterniflora,0.765,29.2874,-90.13792
CRMS0176,10.49245966,-0.003673813,Alterniflora,0.04,29.41078,-89.79333
CRMS0178,14.70973527,-0.225947514,Alterniflora,0.273,29.28748,-90.04698
CRMS0179,10.8402974,-0.066189343,Alterniflora,0.765,29.39623,-89.69845
CRMS0181,10.35808932,-0.096573435,Alterniflora,0.91,29.33823,-89.70033
CRMS0209,10.12187615,-0.259596915,Alterniflora,0.375,29.49057,-89.79173
CRMS0220,3.55505717,0.128794664,Alterniflora,0.004,29.56315,-90.07299
CRMS0224,7.541210121,0.060929318,Alterniflora,0.31,29.49782,-89.91673
CRMS0226,8.015119705,-0.232453959,Alterniflora,0.19,29.51234,-89.88548
CRMS0232,5.027421731,0.047792818,Alterniflora,0.48,29.49783,-90.01048
CRMS0237,7.171037141,-0.199105816,Alterniflora,0.415,29.47605,-89.94798
CRMS0248,3.491703356,-0.178887766,Alterniflora,0.23,29.59944,-90.07299
CRMS0251,4.699171283,0.283313019,Alterniflora,0.475,29.5196,-90.01048
CRMS0253,3.491614145,-0.034100072,Alterniflora,0.17,29.55589,-90.07299
CRMS0258,10.62701427,0.177790516,Alterniflora,0.4,29.52686,-89.82298
CRMS0260,8.627481584,0.04153361,Alterniflora,0.36,29.53411,-89.85423
CRMS0261,1.697602487,0.24326094,Alterniflora,0.004,29.59944,-90.10424
CRMS0263,8.45443486,0.034006544,Alterniflora,0.016,29.55589,-89.88548
CRMS0272,10.52437803,0.118205631,Alterniflora,0.492,29.41799,-89.69798
CRMS0276,5.724853556,-0.011537918,Alterniflora,0.125,29.62121,-89.94798
CRMS0282,14.33733804,-0.507491166,Alterniflora,0.575,29.49783,-89.76048
CRMS0292,23.5635221,-0.230654236,Alterniflora,0.152,29.14218,-90.22924
CRMS0302,19.55868894,-0.09999977,Alterniflora,0.71,29.14783,-90.91699
CRMS0303,10.65139963,-0.442498389,Alterniflora,0.685,29.24379,-91.07301
CRMS0307,9.043847571,0.069555837,Alterniflora,0.255,29.25105,-90.82301
CRMS0310,17.22144573,0.259309078,Alterniflora,0.615,29.29463,-90.29328
CRMS0311,14.82692077,-0.006479733,Alterniflora,0.505,29.21476,-90.79176
CRMS0315,8.602428637,-0.123063766,Alterniflora,0.375,29.40347,-90.573
CRMS0318,17.99935876,0.435794992,Alterniflora,0.715,29.29465,-90.32546
CRMS0319,16.53671848,0.171414137,Alterniflora,0.68,29.32367,-90.32471
CRMS0322,11.94276243,-0.16025023,Alterniflora,0.5,29.24379,-91.10454
CRMS0326,7.256533149,-0.197732505,Alterniflora,0.03,29.27282,-91.07301
CRMS0332,6.605736648,-0.37902279,Alterniflora,0.06,29.30185,-91.04176
CRMS0335,18.93851348,0.131080203,Alterniflora,0.61,29.27286,-90.38772
CRMS0336,17.37931829,0.082831644,Alterniflora,0.645,29.32365,-90.38642
CRMS0337,17.12159417,0.050989125,Alterniflora,0.61,29.30915,-90.35593
CRMS0338,16.40131456,0.384834574,Alterniflora,0.698,29.33091,-90.41821
CRMS0341,16.90630295,0.172266805,Alterniflora,0.53,29.30914,-90.51227
CRMS0345,17.95997007,0.294764042,Alterniflora,0.562,29.17122,-90.76129
CRMS0347,18.13543358,0.003835101,Alterniflora,0.805,29.16397,-90.69962
CRMS0355,16.41865562,-0.543799494,Alterniflora,0.126,29.29663,-90.54149
CRMS0369,5.684804328,-0.147786602,Alterniflora,0.169,29.2946,-90.69801
CRMS0374,18.57800883,-0.018693541,Alterniflora,0.7,29.1567,-90.793
CRMS0376,21.24205801,0.321423573,Alterniflora,0.4,29.12767,-90.85667
CRMS0377,13.85867403,-0.173215239,Alterniflora,0.73,29.22927,-91.0108
CRMS0383,18.66743579,-0.024572346,Alterniflora,0.56,29.2075,-90.94888
CRMS0386,10.95239641,0.177235497,Alterniflora,0.373,29.4325,-90.35425
CRMS0387,11.81611648,0.164721685,Alterniflora,0.272,29.41073,-90.323
CRMS0395,4.963119245,0.020439457,Alterniflora,0.036,29.35992,-90.88551
CRMS0396,8.808703959,0.172962477,Alterniflora,0.188,29.3454,-90.88551
CRMS0397,14.24203564,0.167861697,Alterniflora,0.705,29.35266,-90.26049
CRMS0400,4.957417127,0.314662983,Alterniflora,0.061,29.49057,-90.5105
CRMS0416,7.637616099,0.19316242,Alterniflora,0.219,29.47605,-90.47925
CRMS0421,17.72377072,0.243690378,Alterniflora,0.595,29.17122,-90.82439
CRMS0434,5.465469613,-0.181976519,Alterniflora,0.048,29.32363,-90.72926
CRMS0535,4.047153326,-0.310973788,Alterniflora,0.025,29.64299,-92.16679
CRMS0541,6.410025428,-0.900108877,Alterniflora,0.085,29.61621,-92.04112
CRMS0581,12.77148094,0.300445259,Alterniflora,0.495,29.66477,-92.72931
CRMS0599,13.09287293,0.211490101,Alterniflora,0.01,29.6067,-92.66681
CRMS0600,8.696632771,-0.573972729,Alterniflora,0.082,29.57767,-92.54181
CRMS0609,8.627809832,0.198825294,Alterniflora,0.068,29.63574,-92.6043
CRMS0644,10.71710799,0.413634354,Alterniflora,0.014,29.83171,-93.29182
CRMS0684,4.268337204,0.192798189,Alterniflora,0.03,29.81719,-93.82308
CRMS0685,9.849198895,-0.010253683,Alterniflora,0.35,29.88977,-93.38557
CRMS0687,8.882967311,0.025040516,Alterniflora,0.19,29.94058,-93.35432
CRMS0978,16.36160912,0.297549724,Alterniflora,0.74,29.32365,-90.29251
CRMS1024,12.40578959,-0.286544199,Alterniflora,0.795,29.87473,-89.37876
CRMS1069,14.00794824,-0.461998614,Alterniflora,0.116,30.0485,-89.21826
CRMS1738,7.84266559,0.24034018,Alterniflora,0.016,29.85349,-93.22932
CRMS1743,4.556067416,-0.082841413,Alterniflora,0.013,29.88978,-93.22932
CRMS2608,0.205259833,0.666747344,Alterniflora,0.007,29.22983,-89.31328
CRMS2614,0.298328729,0.239684622,Alterniflora,0.039,29.33814,-89.32296
CRMS3296,13.28102952,-0.09788607,Alterniflora,0.556,29.38896,-90.47925
CRMS3565,4.288455341,0.199123849,Alterniflora,0.025,29.49783,-90.10424
CRMS3601,6.035672192,0.163448895,Alterniflora,0.01,29.57767,-89.94798
CRMS3617,7.194030847,0.071098987,Alterniflora,0.1,29.54863,-89.91673
CRMS3626,2.068600368,0.061785451,Alterniflora,0.005,30.10751,-89.85423
CRMS3639,2.199479622,-0.345846189,Alterniflora,0.033,29.90427,-89.85423
CRMS3650,2.043759797,-0.340370447,Alterniflora,0.182,30.0567,-89.82298
CRMS3664,2.905627895,0.065573855,Alterniflora,0.005,29.91153,-89.82298
CRMS3680,11.53309976,-0.167746472,Alterniflora,0.265,29.51235,-89.79173
CRMS3784,3.481330571,0.076447284,Alterniflora,0.2,30.15832,-89.66672
CRMS4245,1.97052256,0.319917818,Alterniflora,0.09,29.67202,-90.13549
CRMS4455,8.620179028,-0.152347826,Alterniflora,0.295,29.2583,-90.94801
CRMS4529,10.0062377,-0.149432893,Alterniflora,0.505,29.46879,-89.82298
CRMS4551,4.875945509,0.249556223,Alterniflora,0.635,29.85348,-89.60422
CRMS4557,11.69466516,0.061560321,Alterniflora,0.59,29.82444,-89.57297
CRMS4572,5.820923112,-0.221387201,Alterniflora,0.555,30.0567,-89.47921
CRMS4596,6.168287293,-0.132165285,Alterniflora,0.44,30.0567,-89.44796
CRMS4626,1.372860289,0.05803768,Alterniflora,0.037,29.33814,-89.19796
CRMS4690,4.892638122,0.158732735,Alterniflora,0.63,29.49783,-90.04174
CRMS6299,0.941303385,0.449618159,Alterniflora,0.285,30.05059,-90.35142
CRMS6301,6.443833291,0.046179123,Alterniflora,0.175,29.96036,-93.40959
CRMS6302,6.416526391,-0.937994056,Alterniflora,0.655,30.03997,-93.42292
CRMS6303,2.428656276,-0.464170177,Alterniflora,0.055,29.47261,-90.19157
