Station,Salinity,WaterLevel,Species,Cover,Latitude,Longitude
CRMS0002,2.385086505,0.12862722,Patens,0.645,30.10025,-89.79173
CRMS0006,1.580339223,0.28195477,Patens,0.73,30.25993,-89.97923
CRMS0030,0.405554788,-0.04862477,Patens,0.035,30.30482,-90.32942
CRMS0033,0.529912921,0.347903036,Patens,0.025,30.27445,-90.3855
CRMS0114,0.475992173,-0.018128683,Patens,0.26,29.75912,-89.91673
CRMS0115,0.878837477,-1.129707182,Patens,0.086,29.78089,-89.91673
CRMS0117,0.422777029,-0.135160421,Patens,0.155,29.80992,-89.91673
CRMS0119,2.507448943,-0.554648155,Patens,0.705,29.47605,-89.63548
CRMS0121,0.777555814,0.275167674,Patens,0.11,29.69379,-89.82298
CRMS0125,1.169024621,0.169252367,Patens,0.118,29.76637,-89.97923
CRMS0129,4.174097324,-0.26047129,Patens,0.195,29.46879,-89.60422
CRMS0131,0.562106354,-0.457664134,Patens,0.595,29.69252,-89.88552
CRMS0132,0.500352858,-0.144446013,Patens,0.49,29.66476,-89.88548
CRMS0135,1.427744015,-0.240414825,Patens,0.48,29.68654,-89.76048
CRMS0136,0.330264733,-0.51078384,Patens,0.865,29.62122,-89.79173
CRMS0139,0.229327808,0.280446823,Patens,0.007,29.3817,-89.47922
CRMS0146,2.362870626,0.024003223,Patens,0.63,29.73008,-89.72923
CRMS0148,0.20748849,-0.181476059,Patens,0.11,29.51235,-89.69798
CRMS0173,11.03968356,0.117293362,Patens,0.02,29.4543,-89.72993
CRMS0188,1.138849087,0.462922579,Patens,0.015,29.79541,-90.13549
CRMS0190,1.596760304,0.124043288,Patens,0.262,29.52686,-90.26049
CRMS0209,10.12187615,-0.259596915,Patens,0.335,29.49057,-89.79173
CRMS0220,3.55505717,0.128794664,Patens,0.635,29.56315,-90.07299
CRMS0224,7.541210121,0.060929318,Patens,0.05,29.49782,-89.91673
CRMS0225,3.358542052,0.078321165,Patens,0.058,29.56315,-90.01048
CRMS0226,8.015119705,-0.232453959,Patens,0.15,29.51234,-89.88548
CRMS0232,5.027421731,0.047792818,Patens,0.338,29.49783,-90.01048
CRMS0237,7.171037141,-0.199105816,Patens,0.035,29.47605,-89.94798
CRMS0248,3.491703356,-0.178887766,Patens,0.6,29.59944,-90.07299
CRMS0251,4.699171283,0.283313019,Patens,0.51,29.5196,-90.01048
CRMS0253,3.491614145,-0.034100072,Patens,0.2,29.55589,-90.07299
CRMS0258,10.62701427,0.177790516,Patens,0.063,29.52686,-89.82298
CRMS0260,8.627481584,0.04153361,Patens,0.455,29.53411,-89.85423
CRMS0261,1.697602487,0.24326094,Patens,0.665,29.59944,-90.10424
CRMS0263,8.45443486,0.034006544,Patens,0.415,29.55589,-89.88548
CRMS0276,5.724853556,-0.011537918,Patens,0.5,29.62121,-89.94798
CRMS0278,0.509263352,0.362223757,Patens,0.165,29.80993,-90.22924
